taud,g
1e-08,1106976195.6811383
3.3598182862837814e-08,53.532154706191335
1.1288378916846883e-07,384638276.67934245
3.792690190732254e-07,167625367.92611033
1.2742749857031322e-06,83659540.140737
4.281332398719396e-06,14860829.31464997
1.438449888287663e-05,574035.2860356496
4.8329302385717524e-05,1325462.5148489769
0.0001623776739188721,315487.9202471125
0.0005455594781168515,235746.6833339453
0.0018329807108324338,134960.76386176414
0.006158482110660254,69566.5087573228
0.0206913808111479,41061.613774681835
0.06951927961775606,21484.99227601841
0.23357214690901212,26177.853220808593
0.7847599703514607,19708.82997770121
2.6366508987303554,37647.91224851207
8.858667904100832,16916.293447104836
29.763514416313132,57350.899262433144
100.0,11983.73669743613
